City_ID,City,Country,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed
80,Roebourne,AU,-20.7833,117.1333,light rain,83.68,46,0,9.01
81,Saint-Philippe,RE,-21.3585,55.7679,scattered clouds,78.8,69,40,6.91
82,Harboore,DK,56.6175,8.1807,scattered clouds,25.0,84,41,5.99
83,Husavik,IS,66.0449,-17.3389,broken clouds,33.8,69,75,5.75
84,Itoman,JP,26.1247,127.6694,few clouds,71.6,68,20,9.22
85,Ponta Do Sol,PT,32.6667,-17.1,few clouds,54.0,66,23,5.01
86,Cidreira,BR,-30.1811,-50.2056,clear sky,67.48,77,10,5.3
87,Iqaluit,CA,63.7506,-68.5145,overcast clouds,26.6,68,90,11.5
88,Porto Walter,BR,-8.2686,-72.7439,overcast clouds,74.98,91,100,1.81
89,Dikson,RU,73.5069,80.5464,overcast clouds,-27.47,87,90,9.57
90,Ciudad Guayana,VE,8.3533,-62.6528,overcast clouds,75.0,84,100,5.01
91,Itaituba,BR,-4.2761,-55.9836,clear sky,82.4,83,0,2.55
92,Portland,US,45.5234,-122.6762,overcast clouds,46.99,87,90,16.11
93,Mahon,ES,39.8885,4.2658,scattered clouds,55.4,94,40,10.36
94,Mar Del Plata,AR,-38.0023,-57.5575,few clouds,64.0,77,20,11.5
95,Narsaq,GL,60.9167,-46.05,overcast clouds,22.68,81,100,3.83
96,Kawalu,ID,-7.3817,108.2082,scattered clouds,82.26,66,47,4.34
97,Varnamo,SE,57.186,14.04,clear sky,9.0,92,0,4.61
98,Albany,US,42.6001,-73.9662,clear sky,25.0,48,0,2.01
99,Fort Payne,US,34.4442,-85.7197,moderate rain,37.4,87,90,5.75
100,Kyra,RU,49.5776,111.9753,light snow,-1.43,84,100,3.27
101,Biskamzha,RU,53.4497,89.5272,clear sky,20.53,92,0,2.13
102,East London,ZA,-33.0153,27.9116,broken clouds,72.7,87,75,17.58
103,Poso,ID,-1.3959,120.7524,overcast clouds,87.01,64,100,1.72
104,Merauke,ID,-8.4667,140.3333,broken clouds,85.71,73,62,16.28
105,Fortuna,US,40.5982,-124.1573,overcast clouds,48.99,93,90,11.5
106,Aklavik,CA,68.2191,-135.0107,overcast clouds,-16.6,76,100,4.61
107,Constitucion,CL,-35.3333,-72.4167,scattered clouds,57.38,87,32,4.29
108,Bengkulu,ID,-3.8004,102.2655,broken clouds,83.34,63,84,4.12
